Company,Job Role,Stipend,Location
Buddha Education Association Incorporation,Electrical Engineering,"₹ 15,000 /month",Work From Home
Paisabazaar,Sales Consultant,"₹ 15,500 /month",Gurgaon
The Waltonia,Digital Marketing,"₹ 2,500-4,500 /month",Work From Home
LimeRoad,Catalog,"₹ 10,000 /month",Gurgaon
TradeIndia (Infocom Network Private Limited),SEO Content Writing,"₹ 10,000 /month",Noida
Buddha Education Association Incorporation,Mobile App Development,"₹ 35,000 /month",Ahmedabad
Earth5R,Environmental Sciences,Unpaid,Work From Home
Earth5R,Content Writing,Unpaid,Work From Home
Qriocity Ventures Private Limited,Telecalling,"₹ 10,000 /month",Work From Home
Qriocity Ventures Private Limited,Sales,"₹ 5,000-10,000 /month",Work From Home
Educare India Advisory,Customer Service/Customer Support,"₹ 6,500 /month +  Incentives",Work From Home
ESSI Integrated Technologies,Frontend Engineering,"₹ 30,000 /month",Delhi
Ambikesh Sharma,Executive Assistant - Communications,"₹ 3,000-7,000 /month",Work From Home
Tech Analogy,Human Resources (HR),"₹ 6,000-9,000 /month",Work From Home
Girl Power Talk,Graphic Design,"₹ 4,000-8,000 /month",Work From Home
Buddha Education Association Incorporation,Artificial Intelligence (AI),"₹ 25,000 /month",Ranchi
Buddha Education Association Incorporation,Machine Learning,"₹ 25,000 /month",Indore
Buddha Education Association Incorporation,Product Management,"₹ 20,000 /month",Ahmedabad
Buddha Education Association Incorporation,Social Media Marketing,"₹ 15,000 /month",Ahmedabad
Vikalp India Private Limited,Multimedia Design,"₹ 6,000-9,000 /month",Work From Home
Across The Globe (ATG),Human Resources (HR),"₹ 1,000-1,500 /month",Work From Home
All Things Law,Social Media Marketing,"₹ 5,000 /month +  Incentives",Work From Home
Across The Globe (ATG),Natural Language Processing,"₹ 5,000-8,000 /month",Work From Home
Mihir Jagtap And Associates,Python Development,"₹ 10,000 /month",Pune
Indika AI Private Limited,Artificial Intelligence (AI),"₹ 5,000-7,000 /month",Work From Home
Unimonks,Anchoring,"₹ 4,500-6,000 /month",Delhi
Tintin Media Company,Social Media Marketing,"₹ 6,000 /month",Gurgaon
Eduminatti,Mobile App Development,"₹ 2,000 /month",Dehradun
Eduminatti,Business Development (Sales),"₹ 5,000 /month +  Incentives",Dehradun
Eduminatti,Media & Public Relations (PR),"₹ 5,000 /month",Dehradun
Eduminatti,Operations,"₹ 5,000-6,000 /month",Dehradun
ASA MEGA CART Private Limited,Business Development (Sales),"₹ 5,000 lump sum",Pune
Vayuz Technologies,Human Resources (HR),"₹ 10,000 /month",Noida
WBeyond Private Limited,Marketing,"₹ 10,000 /month",Bangalore
The Taplow Group,HR Operations,"₹ 15,000 /month",Gurgaon
YOSO MEDIA,Social Media Marketing,"₹ 7,000 /month",Work From Home
Eduminatti,Video Editing/Making,"₹ 4,000 /month",Dehradun
Learn Electric Cars,Social Media Marketing,"₹ 2,000 /month +  Incentives",Work From Home
Kaala Teeka,Digital Marketing,"₹ 5,000 /month +  Incentives",Noida
Eduminatti,Graphic Design,"₹ 5,000 /month",Dehradun
Hermod,Social Media Marketing,"₹ 3,000 /month +  Incentives",Work From Home
OnsiteGo,Business Development (Sales),"₹ 15,000 /month",Chennai
Zean Lithos And Company Private Limited,Financial Analyst,"₹ 9,000 /month",Work From Home
Zaggle,Sales Consultant,"₹ 35,000 /month",Gurgaon
Digital Guruji,Full Stack Development,"₹ 15,000 /month",Work From Home
Rankfrog Solutions Private Limited,Digital Marketing,"₹ 4,000-6,000 /month",Bhopal
Label Toy,Fashion Design And Merchandising,"₹ 3,000-10,000 /month",Indore
CyberHawkz,Python Development,"₹ 3,000-7,000 /month",Work From Home
Python Clear,Content Writing,"₹ 4,000 /month",Work From Home
Girl Power Talk,Content Writing,"₹ 4,000-8,000 /month",Work From Home
DCOSMOS,Content Writing,"₹ 3,000 /month",Work From Home
Snoh Technologies,Supply Chain & Logistics Operations,"₹ 2,000-5,000 /month",Kota
UrbanRider,Flutter Development,"₹ 10,000 /month",Work From Home
Virtuoso,Video Editing/Making,"₹ 3,000 /month",Work From Home
Techolution,Talent Acquisition,"₹ 15,000-20,000 /month",Hyderabad
PR Shastri,Content Writing,"₹ 3,000 /month",Work From Home
The House Of Classics,Graphic Design,"₹ 5,000 /month",Work From Home
BENGAL TRADE LINKS,Social Media Marketing,"₹ 8,000-10,000 /month",Kolkata
Pawzz,Graphic Design,"₹ 10,000-15,000 /month",Work From Home
AS Digital Technologies,Content Writing,"₹ 1,500 /month",Work From Home
Sandeep Mehta,SEO Backlinking,"₹ 3,000-5,000 /month",Work From Home
Advanced Enterprises,Video Editing/Making,"₹ 10,000-15,000 /month",Work From Home
Job Funnel,Social Media Marketing,"₹ 3,000-5,000 /month",Work From Home
Oliveco Estate Private Limited,Social Media Marketing,"₹ 1,000 /month",Work From Home
Shine Web Solutions,UX/UI Design,"₹ 10,000 /month",Noida
Jankalyan Multipurpose Education Society,Business Development (Sales),Unpaid,Work From Home
Dearbhappy,Social Media Marketing,"₹ 3,000 /month +  Incentives",Work From Home
Indian Youth Congress,Operations,"₹ 10,000 /month",Bangalore
Sagar Defence Engineering Private Limited,Mechanical Engineering,"₹ 7,000 /month",Chakan
Osumare,Digital Marketing,"₹ 8,000 /month",Pune
Globis Foundation,Content Writing,"₹ 1,500-3,500 /month",Work From Home
Globis Vidya Private Limited,Content Writing,"₹ 1,500-3,500 /month",Work From Home
RMC Educational Service Centre,Content Writing,"₹ 1,500-3,500 /month",Work From Home
Fictionsutra - A Yolo Media Network Initiative,Business Development (Sales),"₹ 4,000 /month",Work From Home
Web Ratna LLP,Content Writing,"₹ 6,000-8,000 /month",Anand
Transparent Capital,Human Resources (HR),"₹ 5,000-7,000 /month",Mumbai
Green Portfolio Private Limited,Operations,"₹ 12,500-15,000 /month",Ghaziabad
Buddha Education Association Incorporation,Photography,"₹ 15,000 /month",Delhi
Tumbledry Solution Private Limited,Operations,"₹ 15,000 /month",Noida
SDSR Consultancy Services Private Limited,Equity Analyst,"₹ 10,000-15,000 /month",Kolkata
Viviga Ecom,Graphic Design,"₹ 5,000 /month",Mumbai
Narigiri's Connect To Universe Private Limited,Online IB MYP Biology Tutoring,"₹ 1,500-8,000 /month",Work From Home
Travel Raga Holidays Private Limited,Travel & Tourism,"₹ 12,000 /month",Delhi
Quantum IT Innovation,Social Media Marketing,"₹ 8,000-10,000 /month",Work From Home
Think Of It Foundation,Graphic Design,"₹ 3,500 /month",Work From Home
Celebrare,Search Engine Optimization (SEO),"₹ 8,000-10,000 /month",Work From Home
Ossus Biorenewables Private Limited,Mechanical Engineering,"₹ 10,000 /month",Bangalore
InfluCon Digitals,Photography,"₹ 5,000 /month",Kolkata
Yokotrip,Content Writing,"₹ 5,000-15,000 /month",Delhi
Quantum IT Innovation,Search Engine Optimization (SEO),"₹ 8,000-10,000 /month",Work From Home
Elecbits Technologies Private Limited,Content Writing,"₹ 10,000-20,000 /month",Gurgaon
Innovkraft Incorporation,Content Writing,"₹ 8,000-15,000 /month",Bangalore
EasyShiksha,Graphic Design,"₹ 1,500-3,000 /month",Work From Home
Innovkraft Inc,Content Writing,"₹ 10,000-20,000 /month",Bangalore
SchoolMitra,Video Editing/Making,"₹ 10,000-15,000 /month",Work From Home
DesignCurve Studio,Interior Design,"₹ 7,500-9,000 /month",Thane
Ashv Finance Limited,Digital Marketing,"₹ 10,000 /month",Mumbai
Headfone,Human Resources (HR),"₹ 1,000 /month +  Incentives",Work From Home
Ubuntu Ideas Private Limited,School Sales,"₹ 8,000 /month",Mumbai
Sanesa Yourganic,Marketing,"₹ 10,000 /month",Gurgaon
Student Mentorship Circle,Mentoring,"₹ 1,000 /month",Work From Home
Dr Ramaswamy Swamy,Law/Legal,"₹ 10,000 /month",Chennai
Face Food Organics,Campus Ambassador,Performance Based,Work From Home
WeGrow Business Facilitators,Interior Design,"₹ 5,000 /month +  Incentives",Navi Mumbai
Skillwise Centre For English Learning,Research Associate,"₹ 20,000 lump sum",Sonipat
Anant National University,Admission Counselling,"₹ 10,000-15,000 /month",Ahmedabad
Grape Events Private Limited,Administration,"₹ 5,000 /month",Work From Home
UFaber Edutech,Finance,"₹ 10,000-15,000 /month",Work From Home
PageSuite India Private Limited,Social Media Marketing,"₹ 5,000 /month",Pune
Reach Technologies,Algorithm Development,"₹ 10,000 /month",Work From Home
Indian Jeweller,Digital Journalism,"₹ 15,000 /month",Mumbai
Bizinventive,Social Media Marketing,"₹ 5,000-12,000 /month",Bangalore
Cardekho.com,Copywriting,"₹ 10,000 /month",Gurgaon
Apurva Patil,Content Writing,"₹ 2,000-5,000 /month",Work From Home
Atish Mathur,Research (Political Science),"₹ 10,000-15,000 /month",Delhi
Gemtech Paras Solutions Private Limited,Graphic Design,"₹ 3,000 /month",Work From Home
FynTune Solution Private Limited,Java Development,"₹ 15,000 /month",Thane
Unique Infra Engineering India Private Limited,Blogging,"₹ 2,500 /month",Noida
Bring Your Own Business,.NET Development,"₹ 7,000 /month",Mumbai
Comcrush Media,Digital Marketing,"₹ 5,000 /month +  Incentives",Chandigarh
Abhimanyu Singhal And Company,Marketing,"₹ 5,000-10,000 /month",Faridabad
Manglam Handicrafts,Business Development (Sales),"₹ 5,000 /month +  Incentives",Work From Home
Manipal Hospitals,Dietetics/Nutrition,"₹ 10,000 /month",Gurgaon
WeGit Technologies,Content Writing,"₹ 2,000 /month",Work From Home
Client Associates (CA),Wealth Management,"₹ 20,000 /month",Gurgaon
Lean Platform Technologies,Digital Marketing,"₹ 10,000 /month",Work From Home
Space Food Club,Sales,"₹ 1,500 /month +  Incentives",Work From Home
Montaigne Smart Business Solutions,Executive Assistant At Founder's Office,"₹ 10,000 /month",Hyderabad
Veranda Phire,Social Media Marketing,"₹ 5,000-10,000 /month",Chennai
Ricotta,Social Media Marketing,"₹ 7,000-10,000 /month",Work From Home
Finsafe India Private Limited,Sales Support,"₹ 5,000 /month",Bangalore
TrueFirms | An IT Staff Augmentation Marketplace,Business Development (Sales),"₹ 6,000 /month",Indore
Finance Lookup Advisors,Finance & Accounting,"₹ 7,500-15,000 /month",Jaipur
Repsoft,International Business Development,"₹ 5,000-10,000 /month",Work From Home
Anirudh Mittal,Video Editing/Making,"₹ 5,000 /month +  Incentives",Ludhiana
Careers360,Marketing,"₹ 15,000 lump sum +  Incentives",Work From Home
Urja Talents,Operations,"₹ 6,000 /month +  Incentives",Mumbai
Indiana Acids And Chemicals Private Limited,Marketing,"₹ 15,000-25,000 /month",Ludhiana
Hindustan Boilers,Marketing,"₹ 2,000 /month +  Incentives",Chennai
Agriculture Skill Council Of India,Content Development (English),"₹ 10,000-12,000 /month",Gurgaon
Suitable Ai,Data Entry,"₹ 10,000 /month",Delhi
Kan Man International,Videos Ad Creation - Reels & Videos,"₹ 3,500 /month",Work From Home
Wehire Talent Solutions,Human Resources (HR),"₹ 7,000 /month",Mumbai
UniConverge Technologies Private Limited,Graphic Design,"₹ 6,000 /month",Delhi
Terre Des Hommes - Netherlands (TdH-NL),Social Media Marketing,"₹ 10,000 /month",Work From Home
Tekkonnectpro IT Services,Laravel Development,"₹ 8,000 /month",Work From Home
Tubelight Foundation For Social Innovations,Market Research,"₹ 2,500-5,000 lump sum",Work From Home
FLATLAYBY AA,Product Styling,"₹ 12,000 /month +  Incentives",Mumbai
World Cyber Security Forum,Social Media Marketing,"₹ 1,000 /month +  Incentives",Work From Home
Wizda,Project Management,"₹ 10,000 /month",Bangalore
Varsha Garodia,Social Media Marketing,"₹ 5,000-12,000 /month",Mumbai
Awrange Digital Solutions LLP,Content Writing,"₹ 10,000 /month",Pune
Frozen Bottle,Social Media Marketing,"₹ 10,000-15,000 /month",Bangalore
RKS Solution,Human Resources & Sales,"₹ 1,000 /month +  Incentives",Work From Home
TravelRaga Holidays Private Limited,Travel Consultant,"₹ 8,000-12,000 /month",Delhi
PatilKaki,Operations,"₹ 3,000 /month",Work From Home
Domgys India Services Pvt. Ltd.,Business Development (Sales),"₹ 10,000 /month",Noida
Futuready Media,Digital Marketing,"₹ 5,000 /month",Mumbai
NSP ITES,Content Writing,"₹ 3,000 /month",Work From Home
Growthx Capital,Equity Analyst,"₹ 10,000 /month",Work From Home
AM Tech Networks,Content Writing,"₹ 14,000 /month",Chandigarh
Bynry Services Private Limited,Marketing Communications,"₹ 8,000 /month",Pune
Aim Advisory Services Private Limited,Operations,"₹ 5,000-12,000 /month",Delhi
OneStruck Entertainment India,Content Writing,"₹ 5,000 /month",Work From Home
Sernexuss Management And Services,Content Writing,"₹ 5,000-15,000 /month",Delhi
MySchoolReviews.com,Content Writing,"₹ 3,000 /month",Gurgaon
Dev Jewels,Business Development (Sales),"₹ 8,000 /month +  Incentives",Surat
Technik Spirits Inc,Business Development (Sales),"₹ 5,000-20,000 /month",Gandhinagar
Spring S Technologies,Business Development (Sales),"₹ 10,000 /month +  Incentives",Work From Home
HireSure.ai,Graphic Design,"₹ 15,000 /month",Bangalore
Souls Of India,E-commerce Operations,"₹ 5,000 /month",Jaipur
KnowMerit Private Limited,Business Development (Sales),"₹ 5,000 /month +  Incentives",Work From Home
Saajha,Transcription,"₹ 2,500 /month",Delhi
Vivek Sheel,Law/Legal,"₹ 5,000 /month",Delhi
Second Brain,Graphic Design,"₹ 1,500-3,000 /month",Work From Home
HIKBE Media Group,Web Development,"₹ 2,000-6,000 /month",Ahmedabad
Moretasks Business Solution Limited,Content Writing,"₹ 10,000-18,000 /month",Work From Home
Youngun India,Influencer Marketing,"₹ 15,000 /month",Work From Home
HomeXpo,Video Editing/Making,"₹ 2,000-5,000 /month",Work From Home
DentHeal,Interior Design,"₹ 10,000 /month",Mumbai
Label Swatee Singh,Fashion Design And Merchandising,"₹ 12,000-15,000 /month",Delhi
SR Edu Technologies,Concept Art,"₹ 10,000-25,000 /month",Work From Home
Woro Media,Children's Book Illustrator,"₹ 10,000-15,000 /month",Work From Home
Nuevera Infotech Private Limited,Corporate Sales,"₹ 3,000 /month",Work From Home
GEMA Education Technology Private Limited,Data Entry,"₹ 1,000 /month",Work From Home
Neolen,Digital Marketing,"₹ 5,000 /month",Work From Home
Vetic,Human Resources (HR),"₹ 15,000 /month",Gurgaon
Lenin Raj K,Law/Legal,Unpaid,Work From Home
Rajdhani Agencies,Content Writing,"₹ 1,000 /month",Work From Home
FabLearner,Content Development - Finance YT Channel,"₹ 5,000 /month",Work From Home
3mguru,Psychological Counseling/Training,"₹ 3,000 /month",Work From Home
Fresh Purple By Vibha,Creative Writing,"₹ 2,000 /month",Work From Home
Cayana Infratech Private Limited,Architecture,"₹ 10,000-15,000 /month",Bhubaneswar
Ekatva Foundation,Foundation Relations,"₹ 600-4,500 lump sum",Work From Home
InAmigos Foundation,Community Management,Unpaid,Work From Home
Startup Affairs,Business Development (Sales),"₹ 8,000 /month +  Incentives",Hyderabad
Bhashkaranand Joshi,Digital Marketing,"₹ 1,000 /week",Work From Home
Himanshi Sharma,Subject Matter Expert (Statistics),"₹ 5,000-6,000 /month",Work From Home
Propmart Advisory,Digital Marketing,"₹ 5,000 /month",Thane
Advocate Anand Duggal,Law/Legal,"₹ 2,000 /month",Delhi
Qriocity Ventures Private Limited,Operations,"₹ 10,000-15,000 /month",Chennai
Women Hopes Care,E-Commerce Listing,"₹ 3,000-5,000 /month",Work From Home
Rentkar-Switch To Share,Business Development (Sales),"₹ 12,000-14,000 /month",Mumbai
Neemtree Internet Private Limited,Talent Acquisition,"₹ 5,000 /month",Work From Home
Lean Platform Technologies,Social Media Marketing,"₹ 10,000 /month",Work From Home
Impca Services Pvt Ltd,Blogging,"₹ 1,000 /month +  Incentives",Work From Home
Nuvio Technologies Private Limited,Online Marketing (Generating Sales),"₹ 2,000 /month +  Incentives",Work From Home
The Social Spex,Social Media Marketing,"₹ 3,000 /month",Delhi
Chili Factor Communications,Video Editing/Making,"₹ 1,000 /month +  Incentives",Work From Home
Career Comfort,Human Resources (HR),"₹ 6,000 /month",Work From Home
Qyuki Digital Media Private Limited,Search Engine Optimization (SEO),"₹ 10,000 /month",Hyderabad
BetterLYF Wellness,Human Resources (HR),"₹ 8,000 /month",Delhi
Higgz Academia Technology Private Limited,Subject Matter Expert - Statistics,$ 400-450 /month,Work From Home
Digital Web Solutions,Digital Marketing,"₹ 15,000 /month",Gurgaon
ETechCube,Content Writing,"₹ 5,000 /month",Jamshedpur
The Learn Cloud,Human Resources (HR),"₹ 5,000-7,000 /month",Work From Home
Team ABC Corporate Insurers,Graphic Design,"₹ 2,000-4,000 /month",Work From Home
Zoommer Sport,Operations,"₹ 6,000-15,000 /month",Pune
Monkhub,Flutter Development,"₹ 5,000-10,000 /month",Work From Home
Bolt Experience Design Studio,Digital Marketing,"₹ 5,000-10,000 /month",Work From Home
Rani Sahiba,Product Marketing,"₹ 12,000 /month",Work From Home
Pawzz,Instagram Marketing,"₹ 2,000-10,000 /month",Work From Home
Pawzz,Crowdfunding,"₹ 1,000-10,000 lump sum",Work From Home
Pawzz,Social Entrepreneurship,"₹ 1,500-10,000 lump sum",Work From Home
Pawzz,14 Days Virtual Charity Drive,"₹ 1,500-10,000 lump sum",Work From Home
Pawzz,Business Development,"₹ 1,500-10,000 lump sum",Work From Home
Pawzz,Sales And Outreach,"₹ 1,500-5,000 /month",Work From Home
PlanThyBusiness.com,Market Research,"₹ 3,000 /month",Work From Home
HyperProspect,Business Development (Sales),"₹ 5,000 /month +  Incentives",Work From Home
Report Mines,Digital Marketing,"₹ 5,000 /month",Work From Home
ABC Consultants,Talent Acquisition,"₹ 10,000 /month",Delhi
ABC Consultants,Recruitment,"₹ 10,000 /month",Delhi
Sparks To Ideas,Web Development,"₹ 5,000 /month",Himmatnagar
Jaguar Solutions Private Limited,Graphic Design,"₹ 6,000 /month",Pune
Reach Technologies,Data Entry,"₹ 5,000 /month",Work From Home
Adlers Den,Human Resources (HR),"₹ 10,000 /month",Mumbai
Brand Manifestors,Graphic Design,"₹ 3,000-5,000 /month",Noida
Rani Sahiba,Accounting,"₹ 12,000 /month",Work From Home
Rani Sahiba,General Management,"₹ 15,000 /month",Work From Home
Make Indias,Digital Marketing,"₹ 2,000-2,500 /month",Varanasi
Axe Consultancy And Security Services LLC,Social Media Marketing,"₹ 2,500-3,000 /month",Work From Home
TAR India,Graphic Design,"₹ 15,000 /month",Gurgaon
Narigiri's Connect To Universe Private Limited,Online Kashmiri Language Tutoring,"₹ 1,500-8,000 /month",Work From Home
Subtle Startups,Business Development (Sales),"₹ 5,000 /month",Work From Home
Earth5R,Marketing,"₹ 8,000 /month",Mumbai
Yelsons India Private Limited,Digital Marketing,"₹ 10,000 /month",Pune
Puff Place India,Customer Service/Customer Support,"₹ 12,000 /month",Delhi
BHeard,Video Editing/Making,"₹ 5,000-10,000 /month",Mumbai
Megha Budhia,E-commerce Operations,"₹ 3,000-4,000 /month",Gurgaon
The Mango Jelly,Python Development,"₹ 5,000 /month",Work From Home
Tanmay Garments,Fashion Design,"₹ 6,000-10,000 /month",Delhi
Tripotude,Digital Marketing,"₹ 7,000-10,000 /month",Work From Home
Techsyneric Technologies,Laboratory Management System,"₹ 5,000-15,000 /month",Work From Home
Listnr,Influencer Outreach,"₹ 10,000 /month +  Incentives",Work From Home
Harmeet Hora,Business Development (Sales),"₹ 5,000 /month +  Incentives",Work From Home
Quantum IT Innovation,Business Development (Sales),"₹ 8,000-10,000 /month",Work From Home
7System Technology Private Limited,Digital Marketing,"₹ 7,000 /month",Delhi
Virohan Institute Of Health & Management Sciences,Talent Acquisition,"₹ 22,000 /month",Gurgaon
Dynish,Flutter Development,"₹ 3,000-3,500 /month",Work From Home
Ozibook Tech Solutions Private Limited,UI/UX Design,"₹ 1,000 /month",Work From Home
Tamada Media Private Limited,Business Development (Sales),"₹ 5,000 /month",Hyderabad
Ozibook Tech Solutions Private Limited,Content Design,"₹ 1,000 /month",Work From Home
Ozibook Tech Solutions Private Limited,Content Writing (Personal Branding Specialist),"₹ 10,000 /month",Work From Home
Ekatva Foundation,Customer Acquisition,"₹ 500-4,000 lump sum",Work From Home
Ozibook Tech Solutions Private Limited,Technical Assistance,"₹ 1,000 /month",Work From Home
Outlook Media India,Social Media Marketing,"₹ 7,000-8,000 /month",Delhi
Himanshu Sunil And Associates,Chartered Accountancy (CA),"₹ 10,000-20,000 /month",Delhi
Radiant Techlearning,Digital Marketing,"₹ 1,000 /month",Work From Home
ICapotech,Human Resources (HR),"₹ 8,000-10,000 /month",Mumbai
OML Entertainment Private Limited,Media & Analytics,"₹ 15,000 /month",Mumbai
One21 Healthtech Private Limited,Graphic Design,"₹ 10,000 /month",Bangalore
Indigo Solutions,Field Sales,"₹ 8,000 /month +  Incentives",Work From Home
Team Car Delight,Copywriting,"₹ 10,000-12,000 /month",Work From Home
Passionbits,Content Writing,"₹ 5,000-7,000 /month",Work From Home
Kolkata Pulse,Video Editing/Making,"₹ 2,500-3,000 /month",Work From Home
Ritu Yadav,Architecture,"₹ 10,000 /month",Delhi
Admitts India,Business Development (Sales),"₹ 20,000 /month",Hyderabad
Highway Delite,Telecalling,"₹ 8,000 /month",Work From Home
High Dynamics Pvt. Ltd.,Aerospace Engineering,Unpaid,Pune
Ggetpath Consultants,Business Development (Sales),"₹ 1,000 /month",Work From Home
Nxcar,Videography,"₹ 15,000 /month",Gurgaon
Corizo,Market Research,"₹ 1,000 /month +  Incentives",Work From Home
Desktivo Tech,Mobile App Development,"₹ 10,000-16,000 /month",Work From Home
City Heartz,Digital Marketing,"₹ 8,000 /month",Work From Home
ScaleItConsulting,Digital Marketing,"₹ 10,000 /month",Work From Home
Geetanjali Institute,Educational Consultant,"₹ 7,000-15,000 /month",Work From Home
Inva Production,Video Editing/Making,"₹ 7,000 /month",Work From Home
Nucros Science & Taste,Market Research,"₹ 7,000-10,000 /month",Delhi
Idealoft Studio,Visual Design,"₹ 6,000 /month",Work From Home
Universal Adventures,Operations,"₹ 2,000-4,000 /month",Work From Home
Nectworks,Search Engine Optimization (SEO),"₹ 6,000-8,000 /month",Bangalore
Paddavi,Software Development,"₹ 2,500-4,000 /month",Mumbai
Acelerar Technologies Private Limited,Growth Marketing,"₹ 5,000 /month",Work From Home
GAMSYS Tech Private Limited,Content Writing,"₹ 5,000-10,000 /month",Thane
Star Production,Web Development,"₹ 3,000-7,000 /month",Delhi
Medforage,Business Development (Sales),"₹ 5,000 /month",Hyderabad
"Distinctive Marketing Solutions (Calgary, Canada)",QA Testing,"₹ 10,000 /month",Work From Home
Naksh Foundation,Motion Graphics,Unpaid,Work From Home
Coherent Market Insights Private Limited,Business Development (Sales),"₹ 10,000 /month",Pune
Higgz Academia Technology Private Limited,Physics,$ 300-450 /month,Work From Home
Metastable Materials Private Limited,Founder's Office Operations,"₹ 20,000-50,000 /month",Bangalore
Dignifyd Digital Solutions,Content Development (English),"₹ 3,000-4,000 /month",Work From Home
STIC GSA Services Private Limited,International Travel Consultant,"₹ 10,000 /month",Gurgaon
Fixdax Technology Private Limited,Digital Marketing,"₹ 7,000-10,000 /month",Noida
ThinkClock Innovation Labs,Digital Marketing,"₹ 18,000-25,000 /month",Bangalore
Enalo Technologies Private Limited,Business Development (Sales),"₹ 5,000 /month +  Incentives",Work From Home
Matrix Exports,Marketing,"₹ 8,000 /month +  Incentives",Bangalore
Al-Zira Technology Private Limited,Digital Marketing,"₹ 2,000 /month +  Incentives",Chennai
Requisite Technologies Private Limited,Marketing,"₹ 5,000-12,000 /month",Mohali
Newton School,Operations,"₹ 15,000 /month",Bangalore
Talent Giants Consultancy Services,Recruitment,"₹ 1,500 /month +  Incentives",Work From Home
Jetbro Private Limited,Business Development (Sales),"₹ 5,000-10,000 /month",Work From Home
Blue Plate Hospitality & Services Private Limited,Sales,"₹ 10,000-15,000 /month",Bangalore
Star Hire Services,HR Consultant,"₹ 4,000 /month +  Incentives",Jaipur
VKL Food Solutions Enterprise,Inside Sales,"₹ 8,000 /month",Mumbai
Exampil Solutions Private Limited,Business Development (Sales),"₹ 2,000-5,000 /month",Work From Home
Divine Trends,Graphic Design,"₹ 5,000 /month",Work From Home
Buddha Education Association Incorporation,Mobile App Development,"₹ 30,000 /month",Gurgaon
EV-Urjaa,Sales (Lead Generation),"₹ 5,000 /month",Ujjain
The Learn Cloud,Content Writing,"₹ 5,000-10,000 /month",Work From Home
Onelap Telematics Private Limited,Customer Service/Customer Support,"₹ 22,000 /month",Delhi
Reark Digital Preservation Private Limited,3D Art,"₹ 10,000 /month",Mumbai
Websiteble Services LLP,SOCIAL MEDIA POSTS DESIGNING,"₹ 2,000-7,500 /month",Work From Home
Realvue 3D Private Limited,3D Rendering,"₹ 10,000 /month",Mumbai
Casa Connect,Content Creation,"₹ 4,500 /month",Mumbai
Unimonks,Educational Journalism,"₹ 4,000-8,000 /month",Delhi
Recruit CRM,Digital Marketing,"₹ 7,500 /month",Work From Home
Fluxlink India Private Limited,Industrial Automation Engineering,"₹ 10,000 /month",Bangalore
Bijon Trading Private Limited (Genotek),Web Development,"₹ 10,000 /month",Work From Home
Earth5R,"Botany, Zoology, And Microbiology Research",Unpaid,Work From Home
SHREE ANAND FILLING STATION,E-Commerce Marketing,"₹ 15,000 /month",Work From Home
Earth5R,Marketing And Advertising - Research,Unpaid,Work From Home
FavTutor,Technical Content Writing,"₹ 20,000 /month",Work From Home
She Can Foundation,Fundraising,20% of Total Amount Raised,Work From Home
Quizzy,Academic Content Quality Assurance,"₹ 8,000-12,000 /month",Work From Home
Arcatron Mobility Private Limited,Telecalling,"₹ 15,000 /month",Work From Home
NextGen Techno Ventures Private Limited,Unity Game Development,"₹ 8,000-10,000 /month",Mumbai
Vikalp India Private Limited,Bharatnayam Faculty For Online School For Kids,"₹ 7,000-9,000 /month",Work From Home
RBK Educational Institutions,Human Resources (HR),"₹ 5,000-8,000 /month",Mumbai
Buddha Education Association Incorporation,Videography,"₹ 18,000 /month",Darjeeling
Gitika Bhatia,Video Editing/Making,"₹ 8,000-12,000 /month",Delhi
Storlyy,Data Entry,"₹ 10,000 /month",Work From Home
ElectricPe,Motion Graphics,"₹ 18,000 /month",Work From Home
A Pixel House,Graphic Design,"₹ 6,000 /month",Work From Home
Juppiter AI Labs,Project Management,"₹ 12,000-15,000 /month",Noida
Whitefield Network,Talent Acquisition,"₹ 4,000 /month +  Incentives",Work From Home
LuxurionWorld.com,Digital Marketing,"₹ 3,000-7,000 /month",Navi Mumbai
Siddi Vinayaka Creative Labs,Node.js Development,"₹ 15,000 /month",Hyderabad
Pawzz,Social Sector Marketing,"₹ 1,500-10,000 lump sum",Work From Home
IDW Interiors,Content Writing,"₹ 10,000 /month",Noida
NeoDove Technologies Private Limited,Digital Marketing,"₹ 10,000 /month",Bangalore
Pawzz,Business Development,"₹ 1,500-10,000 lump sum",Work From Home
Qtesters,WordPress Development,"₹ 1,000 /month",Work From Home
Pawzz,Social Entrepreneurship,"₹ 1,500-10,000 lump sum",Work From Home
Pawzz,Campaign Support,"₹ 1,500-10,000 lump sum",Work From Home
Siddi Vinayaka Creative Labs,Reactjs Development,"₹ 15,000 /month",Hyderabad
Pawzz,Product Marketing,"₹ 1,500-5,000 /month",Work From Home
GAMSYS Tech Private Limited,Graphic Design,"₹ 5,000-10,000 /month",Belapur
MentorBoxx,Game Development,"₹ 18,000 /month",Work From Home
MentorBoxx,Business Development (Sales),"₹ 5,000-10,000 /month",Work From Home
SwasthAham,Marketing Coordination,"₹ 1,000 /month",Work From Home
Appening Infotech Private Limited,Flutter Development,"₹ 6,000 /month",Work From Home
Farmer Near Me,Graphic Design,"₹ 1,000-2,000 /month",Work From Home
MentorBoxx,Digital Marketing,"₹ 18,000 /month",Work From Home
MentorBoxx,Social Media Marketing,"₹ 8,000 /month",Work From Home
Populus Empowerment Netowrk,Media,"₹ 13,500 /month",Chennai
